subject_nr,group,lang,trial_nr,block_index,position,img_left,img_right,x_left,y_left,x_right,y_right,first_fix_side,first_fix_rt_ms,response_time_ms,correct,arrangement,first_fix_direction,csvlog_fixated_clock,csvlog_physical_side,csvlog_physical_vert,reading_start_side,fix_matches_reading_onset,fpog_first_fix_direction,fpog_first_fix_rt_ms,fpog_first_fix_x,fpog_first_fix_y,fpog_median_ecc_px,fpog_exclusion_reason,fpog_excluded,fpog_fixated_clock,fpog_physical_side,fpog_physical_vert,bpog_first_fix_direction,bpog_first_fix_rt_ms,bpog_exclusion_reason,bpog_excluded,bpog_fixated_clock,bpog_physical_side,bpog_physical_vert
44,RTL,Arabic,25,3,1,000.png,001.png,-308,0,308,0,000.png,66.29220000014175,1077.7728999996907,undefined,"(9, 3)",left,9.0,left,,right,False,left,327.88000000005013,635.2471813953489,531.8731255813954,378.9699882250832,none,False,9.0,left,,left,288.03000000004886,none,False,9.0,left,
44,RTL,Arabic,26,3,6,002.png,003.png,-267,154,267,-154,none,-1.0,764.8266000000876,undefined,"(8, 2)",none,,,,right,,right,5278.389999999945,1239.1620413793105,432.4077931034482,377.7803556756811,none,False,2.0,right,up,left,683.659999999918,none,False,8.0,left,down
44,RTL,Arabic,27,3,5,004.png,005.png,-154,267,154,-267,none,-1.0,586.2878999996465,undefined,"(7, 1)",none,,,,right,,right,5264.460000000099,1152.7399783783785,311.0067243243243,346.1890411257666,none,False,1.0,right,up,left,2819.7600000000875,none,False,7.0,left,down
44,RTL,Arabic,28,3,4,006.png,007.png,0,-308,0,308,none,-1.0,453.95409999991534,undefined,"(12, 6)",none,,,,right,,left,5298.219999999901,966.4038400000001,242.19768000000002,297.8711650430904,none,False,12.0,,up,right,2665.589999999952,none,False,6.0,,down
44,RTL,Arabic,29,3,1,008.png,009.png,-308,0,308,0,008.png,30.348300000245217,1374.4538999999058,undefined,"(9, 3)",left,9.0,left,,right,False,left,281.06000000002496,606.175843902439,521.5823121951219,354.3031818403966,none,False,9.0,left,,left,247.56000000002132,none,False,9.0,left,
44,RTL,Arabic,30,3,3,010.png,011.png,-154,-267,154,267,010.png,30.626900000264868,489.3472000003094,undefined,"(11, 5)",left,11.0,left,up,right,False,left,328.48999999998796,779.2864,362.26664999999997,324.926329114126,none,False,11.0,left,up,left,281.620000000089,none,False,11.0,left,up
44,RTL,Arabic,31,3,5,012.png,013.png,-154,267,154,-267,012.png,950.6513999999734,1252.018499999831,undefined,"(7, 1)",left,7.0,left,down,right,False,right,1212.5200000000405,1128.1384988764044,274.3889258426966,315.5079261326085,none,False,1.0,right,up,right,1185.8499999999594,none,False,1.0,right,up
44,RTL,Arabic,32,3,2,014.png,015.png,-267,-154,267,154,014.png,30.463599999668077,576.1915999996709,undefined,"(10, 4)",left,10.0,left,up,right,False,left,287.89999999992233,682.7283692307692,417.1159384615384,322.3365592006856,none,False,10.0,left,up,left,261.3499999999931,none,False,10.0,left,up
44,RTL,Arabic,33,4,3,000.png,001.png,-154,-267,154,267,000.png,32.23540000000503,1287.529700000072,undefined,"(11, 5)",left,11.0,left,up,right,False,left,288.09000000001106,786.490368,345.372336,354.8334125968674,none,False,11.0,left,up,left,254.69999999995707,none,False,11.0,left,up
44,RTL,Arabic,34,4,5,002.png,003.png,-154,267,154,-267,none,-1.0,444.5818000003928,undefined,"(7, 1)",none,,,,right,,right,5271.3699999999335,1126.6806260869564,251.77852173913044,340.9467667990439,none,False,1.0,right,up,left,2022.9499999999234,none,False,7.0,left,down
44,RTL,Arabic,35,4,1,004.png,005.png,-308,0,308,0,004.png,30.878399999812245,1429.38619999995,undefined,"(9, 3)",left,9.0,left,,right,False,left,267.879999999991,685.6416,527.5222615384615,324.7983389840798,none,False,9.0,left,,left,261.2900000000309,none,False,9.0,left,
44,RTL,Arabic,36,4,1,006.png,007.png,-308,0,308,0,006.png,31.59310000005644,514.7584000001661,undefined,"(9, 3)",left,9.0,left,,right,False,left,294.3200000000843,719.9364923076923,543.2031692307693,367.7223688830306,none,False,9.0,left,,left,280.9500000000753,none,False,9.0,left,
44,RTL,Arabic,37,4,2,008.png,009.png,-267,-154,267,154,008.png,78.47409999975935,1505.778899999801,undefined,"(10, 4)",left,10.0,left,up,right,False,left,327.87999999993644,667.9685999999999,429.373575,354.7188143473563,none,False,10.0,left,up,left,301.19999999999436,none,False,10.0,left,up
44,RTL,Arabic,38,4,5,010.png,011.png,-154,267,154,-267,none,-1.0,807.8879000004381,undefined,"(7, 1)",none,,,,right,,right,5264.829999999961,1144.8155428571429,360.9889714285714,344.38517273015134,none,False,1.0,right,up,left,636.7199999999684,none,False,7.0,left,down
44,RTL,Arabic,39,4,2,012.png,013.png,-267,-154,267,154,012.png,27.25,1752.1742000003578,undefined,"(10, 4)",left,10.0,left,up,right,False,left,375.1200000000381,682.1507657142857,423.4729371428572,333.3311168030156,none,False,10.0,left,up,left,341.6100000000597,none,False,10.0,left,up
